호텔명,입실,퇴실,지역,숙박유형,별점,등급,가격
신주쿠 워싱턴 호텔 도쿄 메인,2023-07-25,2023-07-26,도쿄,호텔,7.4,3성급,87212
호텔 그레이스리 신주쿠,2023-07-25,2023-07-26,도쿄,호텔,8.6,4성급,154668
호텔 그레이스리 긴자,2023-07-25,2023-07-26,도쿄,호텔,8.2,4성급,114029
포 시즌스 호텔 도쿄 앳 오테마치,2023-07-25,2023-07-26,도쿄,호텔,9.0,5성급,1754224
게이오 플라자 호텔 도쿄,2023-07-25,2023-07-26,도쿄,호텔,8.4,4성급,550512
파크 하얏트 도쿄,2023-07-25,2023-07-26,도쿄,호텔,9.1,5성급,1170421
더 아오야마 그랜드 호텔,2023-07-25,2023-07-26,도쿄,호텔,9.1,4성급,797021
호텔 알라만다 아오야마 도쿄,2023-07-25,2023-07-26,도쿄,호텔,8.5,5성급,402530
토부 호텔 레반트 도쿄,2023-07-25,2023-07-26,도쿄,호텔,8.8,4성급,133943
임페리얼 호텔 도쿄,2023-07-25,2023-07-26,도쿄,호텔,9.0,5성급,475383
JR-이스트 호텔 메츠 시부야,2023-07-25,2023-07-26,도쿄,호텔,8.4,3성급,132897
도쿄 프린스 호텔,2023-07-25,2023-07-26,도쿄,호텔,8.5,4성급,173924
쉐라톤 그랜드 도쿄 베이 호텔,2023-07-25,2023-07-26,도쿄,호텔,8.0,5성급,298922
하얏트 센트릭 긴자 도쿄,2023-07-25,2023-07-26,도쿄,호텔,8.8,4성급,1358109
다이이치 호텔 도쿄,2023-07-25,2023-07-26,도쿄,호텔,8.8,4성급,239616
신주쿠 그란벨 호텔,2023-07-25,2023-07-26,도쿄,호텔,7.9,4성급,99661
렘 롯폰기,2023-07-25,2023-07-26,도쿄,호텔,8.6,3성급,153915
시부야 토부 호텔,2023-07-25,2023-07-26,도쿄,호텔,8.0,3성급,99640
세를리안 타워 도큐 호텔 아 팬 퍼시픽 파트너 호텔,2023-07-25,2023-07-26,도쿄,호텔,8.7,5성급,335511
더 스퀘어 호텔 긴자,2023-07-25,2023-07-26,도쿄,호텔,8.4,3성급,183515
오다큐 호텔 센츄리 서던 타워 호텔,2023-07-25,2023-07-26,도쿄,호텔,8.8,4성급,203483
호텔 진잔소 도쿄,2023-07-25,2023-07-26,도쿄,호텔,9.2,5성급,384384
미츠이 가든 호텔 시오도메 이탈리아가이,2023-07-25,2023-07-26,도쿄,호텔,8.4,3성급,164054
