호텔명,입실,퇴실,지역,숙박유형,별점,등급,가격
게이오 플라자 호텔 삿포로,2023-09-01,2023-09-02,삿포로,호텔,8.6,4성급,160468
라젠트 스테이 삿포로 오도리 홋카이도,2023-09-01,2023-09-02,삿포로,호텔,8.7,3성급,118158
더 놋 삿포로,2023-09-01,2023-09-02,삿포로,호텔,8.7,3성급,230280
호텔 그레이스리 삿포로,2023-09-01,2023-09-02,삿포로,호텔,8.1,3성급,213579
JR 타워 호텔 닛코 삿포로,2023-09-01,2023-09-02,삿포로,호텔,8.8,4성급,372549
삿포로 그랜드 호텔,2023-09-01,2023-09-02,삿포로,호텔,8.3,4성급,205522
호텔 포르자 삿포르 스테이션,2023-09-01,2023-09-02,삿포로,호텔,9.3,3성급,155065
베스트 웨스턴 삿포로 오도리-코엔,2023-09-01,2023-09-02,삿포로,호텔,8.5,3성급,117604
도큐 스테이 삿포로 오도리,2023-09-01,2023-09-02,삿포로,호텔,8.9,3성급,127550
네스트 호텔 삿포로 에키마에,2023-09-01,2023-09-02,삿포로,호텔,7.0,3성급,206951
미쓰이 가든 호텔 삿포로 웨스트,2023-09-01,2023-09-02,삿포로,호텔,8.8,3성급,173255
란도르 레지덴셜 호텔 삿포로 스위트,2023-09-01,2023-09-02,삿포로,호텔,8.5,3성급,145076
JR 이스트 호텔 멧츠 삿포로,2023-09-01,2023-09-02,삿포로,호텔,8.9,3성급,174056
호텔 몬토레 에델호프 삿포로,2023-09-01,2023-09-02,삿포로,호텔,8.2,4성급,116912
프리미어 호텔 나카지마 파크 삿포로,2023-09-01,2023-09-02,삿포로,호텔,8.2,4성급,158083
퀸테사 호텔 삿포로 스스키노,2023-09-01,2023-09-02,삿포로,호텔,8.4,3성급,86817
카락사 호텔 삿포로,2023-09-01,2023-09-02,삿포로,호텔,8.7,3성급,188838
삿포로 엑셀 호텔 도큐,2023-09-01,2023-09-02,삿포로,호텔,8.4,4성급,136311
삿포로 뷰 호텔 우도리 코우엔,2023-09-01,2023-09-02,삿포로,호텔,8.1,4성급,184188
게이오 프렐리아 호텔 삿포로,2023-09-01,2023-09-02,삿포로,호텔,8.8,3성급,191386
크로스 호텔 삿포로,2023-09-01,2023-09-02,삿포로,호텔,8.6,4성급,143662
도미인 프리미엄 삿포로,2023-09-01,2023-09-02,삿포로,호텔,8.3,3성급,125245
피노 호텔 삿포로 오도리,2023-09-01,2023-09-02,삿포로,호텔,8.4,2성급,164987
호텔 WBF 삿포로 주오,2023-09-01,2023-09-02,삿포로,호텔,8.4,3성급,276997
미츠이 가든 호텔 삿포로,2023-09-01,2023-09-02,삿포로,호텔,8.2,3성급,144086
리치먼드 호텔 삿포로 오도리,2023-09-01,2023-09-02,삿포로,호텔,8.2,3성급,211739
호텔 마이스테이스 삿포로 아스펜,2023-09-01,2023-09-02,삿포로,호텔,8.3,4성급,228422
베셀 호텔 캄파나 스스키노,2023-09-01,2023-09-02,삿포로,호텔,9.1,3성급,180904
호텔 에미시아 삿포로,2023-09-01,2023-09-02,삿포로,호텔,8.1,4성급,180101
호텔 마이스테이스 프리미어 삿포로 파크,2023-09-01,2023-09-02,삿포로,호텔,8.1,4성급,114445
쇼게츠 그랜드 호텔,2023-09-01,2023-09-02,삿포로,호텔,8.7,4성급,199136
컴포트 호텔 삿포로 스스키노,2023-09-01,2023-09-02,삿포로,호텔,8.6,2성급,80704
호텔 윙 인터내셔널 삿포로 스스키노,2023-09-01,2023-09-02,삿포로,호텔,8.5,3성급,177947
